1892,2262630,376281
Alabama,AL,11,232543
Arkansas,AR,8,148117
California,CA,9,269609
Colorado,CO,4,93891
Connecticut,CT,6,164595
Delaware,DE,3,37235
Florida,FL,4,35471
Georgia,GA,13,223126
Idaho,ID,3,19407
Illinois,IL,24,873647
Indiana,IN,15,553613
Iowa,IA,13,443159
Kansas,KS,10,324905
Kentucky,KY,13,340864
Louisiana,LA,8,114889
Maine,ME,6,116451
Maryland,MD,8,213275
Massachusetts,MA,15,391028
Michigan,MI,14,466045
Minnesota,MN,9,267238
Mississippi,MS,9,52519
Missouri,MO,17,541583
Montana,MT,3,44461
Nebraska,NE,8,200192
Nevada,NV,3,10878
New Hampshire,NH,4,89329
New Jersey,NJ,10,337623
New York,NY,36,1336793
North Carolina,NC,11,280270
North Dakota,ND,3,36118
Ohio,OH,23,850164
Oregon,OR,4,78491
Pennsylvania,PA,32,1003010
Rhode Island,RI,4,53196
South Carolina,SC,9,70504
South Dakota,SD,4,70513
Tennessee,TN,12,265732
Texas,TX,15,422145
Vermont,VT,4,55796
Virginia,VA,12,292238
Washington,WA,4,87969
West Virginia,WV,6,171079
Wisconsin,WI,12,371581
Wyoming,WY,3,16735
