1876,1717765,344017
Alabama,AL,10,171699
Arkansas,AR,6,96946
California,CA,6,155784
Colorado,CO,3,45644
Connecticut,CT,6,122134
Delaware,DE,3,24133
Florida,FL,4,46776
Georgia,GA,11,180690
Illinois,IL,21,554227
Indiana,IN,15,438911
Iowa,IA,11,292878
Kansas,KS,5,124134
Kentucky,KY,12,260626
Louisiana,LA,8,145823
Maine,ME,7,117045
Maryland,MD,8,163759
Massachusetts,MA,13,259620
Michigan,MI,11,318450
Minnesota,MN,5,124075
Mississippi,MS,8,164776
Missouri,MO,15,350610
Nebraska,NE,3,49328
Nevada,NV,3,19691
New Hampshire,NH,5,80141
New Jersey,NJ,9,220193
New York,NY,35,1015503
North Carolina,NC,10,233911
Ohio,OH,22,658649
Oregon,OR,3,29881
Pennsylvania,PA,29,758993
Rhode Island,RI,4,26627
South Carolina,SC,7,182683
Tennessee,TN,12,222743
Texas,TX,8,149555
Vermont,VT,5,64553
Virginia,VA,11,236288
West Virginia,WV,5,99647
Wisconsin,WI,10,257177
