1952,10835549,1593448
Alabama,AL,11,426120
Arizona,AZ,4,260570
Arkansas,AR,8,404800
California,CA,32,5341603
Colorado,CO,6,630103
Connecticut,CT,8,1096911
Delaware,DE,3,174025
Florida,FL,10,989337
Georgia,GA,12,655803
Idaho,ID,4,276231
Illinois,IL,27,4481058
Indiana,IN,13,1955325
Iowa,IA,10,1268773
Kansas,KS,8,896166
Kentucky,KY,10,993148
Louisiana,LA,10,651952
Maine,ME,5,351786
Maryland,MD,9,902074
Massachusetts,MA,16,2383398
Michigan,MI,20,2798592
Minnesota,MN,11,1379483
Mississippi,MS,8,285532
Missouri,MO,13,1892062
Montana,MT,4,265037
Nebraska,NE,6,609660
Nevada,NV,3,82190
New Hampshire,NH,4,272950
New Jersey,NJ,16,2419554
New Mexico,NM,4,238608
New York,NY,45,7128241
North Carolina,NC,14,1210910
North Dakota,ND,4,270127
Ohio,OH,25,3700758
Oklahoma,OK,8,948984
Oregon,OR,6,695059
Pennsylvania,PA,32,4580969
Rhode Island,RI,4,414498
South Carolina,SC,8,341086
South Dakota,SD,4,294283
Tennessee,TN,11,892553
Texas,TX,24,2075946
Utah,UT,4,329554
Vermont,VT,3,153557
Virginia,VA,12,619689
Washington,WA,9,1102708
West Virginia,WV,8,873548
Wisconsin,WI,12,1607370
Wyoming,WY,3,129251
