1960,12084826,1802582
Alabama,AL,11,564478
Alaska,AK,3,60762
Arizona,AZ,4,398491
Arkansas,AR,8,428509
California,CA,32,6506578
Colorado,CO,6,736246
Connecticut,CT,8,1222883
Delaware,DE,3,196683
Florida,FL,10,1544176
Georgia,GA,12,733349
Hawaii,HI,3,184705
Idaho,ID,4,300450
Illinois,IL,27,4757409
Indiana,IN,13,2135360
Iowa,IA,10,1273810
Kansas,KS,8,928825
Kentucky,KY,10,1124462
Louisiana,LA,10,807891
Maine,ME,5,421767
Maryland,MD,9,1055349
Massachusetts,MA,16,2469480
Michigan,MI,20,3318097
Minnesota,MN,11,1541887
Mississippi,MS,8,298171
Missouri,MO,13,1934422
Montana,MT,4,277579
Nebraska,NE,6,613095
Nevada,NV,3,107267
New Hampshire,NH,4,295761
New Jersey,NJ,16,2773111
New Mexico,NM,4,311107
New York,NY,45,7291079
North Carolina,NC,14,1368556
North Dakota,ND,4,278431
Ohio,OH,25,4161859
Oklahoma,OK,8,903150
Oregon,OR,6,776421
Pennsylvania,PA,32,5006541
Rhode Island,RI,4,405535
South Carolina,SC,8,386688
South Dakota,SD,4,306487
Tennessee,TN,11,1051792
Texas,TX,24,2311084
Utah,UT,4,374709
Vermont,VT,3,167324
Virginia,VA,12,771449
Washington,WA,9,1241572
West Virginia,WV,8,837781
Wisconsin,WI,12,1729082
Wyoming,WY,3,140782
