1860,841545,177617
Alabama,AL,9,90122
Arkansas,AR,4,54152
California,CA,4,119812
Connecticut,CT,6,74819
Delaware,DE,3,16115
Florida,FL,3,13301
Georgia,GA,10,106717
Illinois,IL,11,339631
Indiana,IN,13,272143
Iowa,IA,4,128739
Kentucky,KY,12,146216
Louisiana,LA,6,50510
Maine,ME,8,100918
Maryland,MD,8,92502
Massachusetts,MA,13,169548
Michigan,MI,6,154758
Minnesota,MN,4,34787
Mississippi,MS,7,69095
Missouri,MO,9,165563
New Hampshire,NH,5,65943
New Jersey,NJ,7,121215
New York,NY,35,675156
North Carolina,NC,10,96712
Ohio,OH,23,442730
Oregon,OR,3,14758
Pennsylvania,PA,27,476442
Rhode Island,RI,4,19951
South Carolina,SC,8,127052
Tennessee,TN,12,146106
Texas,TX,4,62855
Vermont,VT,5,44644
Virginia,VA,15,166891
Wisconsin,WI,5,152179
