1856,767983,156535
Alabama,AL,9,75291
Arkansas,AR,4,32642
California,CA,4,110241
Connecticut,CT,6,80329
Delaware,DE,3,14589
Florida,FL,3,11191
Georgia,GA,10,99020
Illinois,IL,11,239334
Indiana,IN,13,235431
Iowa,IA,4,92310
Kentucky,KY,12,142058
Louisiana,LA,6,42873
Maine,ME,8,109689
Maryland,MD,8,86860
Massachusetts,MA,13,170048
Michigan,MI,6,125561
Mississippi,MS,7,59647
Missouri,MO,9,106486
New Hampshire,NH,5,69774
New Jersey,NJ,7,99396
New York,NY,35,596486
North Carolina,NC,10,84963
Ohio,OH,23,386497
Pennsylvania,PA,27,460161
Rhode Island,RI,4,19822
South Carolina,SC,8,112544
Tennessee,TN,12,133582
Texas,TX,4,46808
Vermont,VT,5,50748
Virginia,VA,15,150223
Wisconsin,WI,5,119512
