1948,7842287,885004
Alabama,AL,11,214980
Arizona,AZ,4,177065
Arkansas,AR,9,242475
California,CA,25,4021538
Colorado,CO,6,515237
Connecticut,CT,8,883518
Delaware,DE,3,139073
Florida,FL,8,577643
Georgia,GA,12,418764
Idaho,ID,4,214816
Illinois,IL,28,3984046
Indiana,IN,13,1656214
Iowa,IA,10,1038264
Kansas,KS,8,788819
Kentucky,KY,11,822658
Louisiana,LA,10,416336
Maine,ME,5,264787
Maryland,MD,8,596735
Massachusetts,MA,16,2107146
Michigan,MI,19,2109609
Minnesota,MN,11,1212226
Mississippi,MS,9,192190
Missouri,MO,15,1578628
Montana,MT,4,224278
Nebraska,NE,6,488940
Nevada,NV,3,62117
New Hampshire,NH,4,231440
New Jersey,NJ,16,1949555
New Mexico,NM,4,187063
New York,NY,47,6177337
North Carolina,NC,14,791209
North Dakota,ND,4,220716
Ohio,OH,25,2936071
Oklahoma,OK,10,721599
Oregon,OR,6,524080
Pennsylvania,PA,35,3735148
Rhode Island,RI,4,327702
South Carolina,SC,8,142571
South Dakota,SD,4,250105
Tennessee,TN,12,550283
Texas,TX,23,1249577
Utah,UT,4,276305
Vermont,VT,3,123382
Virginia,VA,11,419256
Washington,WA,8,905059
West Virginia,WV,8,748750
Wisconsin,WI,12,1276800
Wyoming,WY,3,101425
