1844,541989,144426
Alabama,AL,9,63403
Arkansas,AR,3,15150
Connecticut,CT,6,64616
Delaware,DE,3,12247
Georgia,GA,10,86247
Illinois,IL,9,109057
Indiana,IN,12,140154
Kentucky,KY,12,116865
Louisiana,LA,6,26865
Maine,ME,9,84933
Maryland,MD,8,68690
Massachusetts,MA,12,132037
Michigan,MI,5,55751
Mississippi,MS,6,45004
Missouri,MO,7,72522
New Hampshire,NH,6,49187
New Jersey,NJ,7,75944
New York,NY,36,485882
North Carolina,NC,11,82521
Ohio,OH,23,312224
Pennsylvania,PA,26,331572
Rhode Island,RI,4,12296
South Carolina,SC,9,91607
Tennessee,TN,13,119957
Vermont,VT,6,48829
Virginia,VA,17,95539
