1900,2397394,335405
Alabama,AL,11,159692
Arkansas,AR,8,127866
California,CA,9,302318
Colorado,CO,4,221408
Connecticut,CT,6,180195
Delaware,DE,3,41989
Florida,FL,4,39649
Georgia,GA,13,121410
Idaho,ID,3,57914
Illinois,IL,24,1131897
Indiana,IN,15,664094
Iowa,IA,13,530355
Kansas,KS,10,353766
Kentucky,KY,13,468265
Louisiana,LA,8,67906
Maine,ME,6,105693
Maryland,MD,8,264434
Massachusetts,MA,15,414804
Michigan,MI,14,544379
Minnesota,MN,9,316311
Mississippi,MS,9,59055
Missouri,MO,17,683656
Montana,MT,3,63856
Nebraska,NE,8,241430
Nevada,NV,3,10196
New Hampshire,NH,4,92364
New Jersey,NJ,10,401050
New York,NY,36,1548042
North Carolina,NC,11,292518
North Dakota,ND,3,84216
Ohio,OH,23,1040073
Oregon,OR,4,83251
Pennsylvania,PA,32,1173210
Rhode Island,RI,4,56548
South Carolina,SC,9,50812
South Dakota,SD,4,96124
Tennessee,TN,12,273860
Texas,TX,15,423706
Utah,UT,3,93189
Vermont,VT,4,56212
Virginia,VA,12,264208
Washington,WA,4,107524
West Virginia,WV,6,220796
Wisconsin,WI,12,442501
Wyoming,WY,3,24687
