1928,5829221,413690
Alabama,AL,12,248982
Arizona,AZ,3,91254
Arkansas,AR,9,197693
California,CA,13,1796656
Colorado,CO,6,392242
Connecticut,CT,7,553031
Delaware,DE,3,105891
Florida,FL,6,253672
Georgia,GA,14,229159
Idaho,ID,4,151541
Illinois,IL,29,3107489
Indiana,IN,15,1421314
Iowa,IA,13,1009489
Kansas,KS,10,713200
Kentucky,KY,13,940604
Louisiana,LA,10,215833
Maine,ME,6,262171
Maryland,MD,8,528348
Massachusetts,MA,18,1577823
Michigan,MI,15,1372082
Minnesota,MN,12,970976
Mississippi,MS,10,151692
Missouri,MO,18,1500721
Montana,MT,4,194108
Nebraska,NE,8,547144
Nevada,NV,3,32417
New Hampshire,NH,4,196757
New Jersey,NJ,14,1548195
New Mexico,NM,3,118014
New York,NY,45,4405626
North Carolina,NC,12,635150
North Dakota,ND,5,239867
Ohio,OH,24,2508346
Oklahoma,OK,10,618427
Oregon,OR,5,319942
Pennsylvania,PA,38,3150610
Rhode Island,RI,5,237194
South Carolina,SC,9,68605
South Dakota,SD,5,261865
Tennessee,TN,12,363473
Texas,TX,20,708999
Utah,UT,4,176603
Vermont,VT,4,135191
Virginia,VA,12,305358
Washington,WA,7,500840
West Virginia,WV,8,642752
Wisconsin,WI,13,1016831
Wyoming,WY,3,82835
