1908,2478151,338429
Alabama,AL,11,105152
Arkansas,AR,9,151822
California,CA,10,386597
Colorado,CO,5,263858
Connecticut,CT,7,190003
Delaware,DE,3,48007
Florida,FL,5,49360
Georgia,GA,13,132504
Idaho,ID,3,97293
Illinois,IL,27,1155254
Indiana,IN,15,721126
Iowa,IA,13,494769
Kansas,KS,10,375946
Kentucky,KY,13,490719
Louisiana,LA,9,75117
Maine,ME,6,106336
Maryland,MD,8,238531
Massachusetts,MA,16,456919
Michigan,MI,14,541830
Minnesota,MN,11,331304
Mississippi,MS,10,66904
Missouri,MO,18,715927
Montana,MT,3,68822
Nebraska,NE,8,266799
Nevada,NV,3,24526
New Hampshire,NH,4,89600
New Jersey,NJ,12,467111
New York,NY,39,1638350
North Carolina,NC,12,252554
North Dakota,ND,4,94525
Ohio,OH,23,1121552
Oklahoma,OK,7,254983
Oregon,OR,4,110889
Pennsylvania,PA,34,1267450
Rhode Island,RI,4,72317
South Carolina,SC,9,66379
South Dakota,SD,4,114775
Tennessee,TN,12,257180
Texas,TX,18,293757
Utah,UT,3,108613
Vermont,VT,4,52680
Virginia,VA,12,137065
Washington,WA,5,183879
West Virginia,WV,7,258105
Wisconsin,WI,13,454441
Wyoming,WY,3,37609
