1932,6619101,592196
Alabama,AL,11,245354
Arizona,AZ,3,118251
Arkansas,AR,9,220562
California,CA,22,2267966
Colorado,CO,6,457696
Connecticut,CT,8,594183
Delaware,DE,3,112901
Florida,FL,7,276252
Georgia,GA,12,255590
Idaho,ID,4,186625
Illinois,IL,29,3407926
Indiana,IN,14,1576927
Iowa,IA,11,1036687
Kansas,KS,9,791978
Kentucky,KY,11,983063
Louisiana,LA,10,268804
Maine,ME,5,298444
Maryland,MD,8,511054
Massachusetts,MA,17,1580114
Michigan,MI,19,1664765
Minnesota,MN,11,1002843
Mississippi,MS,9,146034
Missouri,MO,15,1609894
Montana,MT,4,216479
Nebraska,NE,7,570137
Nevada,NV,3,41430
New Hampshire,NH,4,205520
New Jersey,NJ,16,1629507
New Mexico,NM,3,151606
New York,NY,47,4688614
North Carolina,NC,13,711501
North Dakota,ND,4,256290
Ohio,OH,26,2609728
Oklahoma,OK,11,704633
Oregon,OR,5,368808
Pennsylvania,PA,36,2859177
Rhode Island,RI,4,266170
South Carolina,SC,8,104407
South Dakota,SD,4,288438
Tennessee,TN,11,390256
Texas,TX,23,836426
Utah,UT,4,206578
Vermont,VT,3,136980
Virginia,VA,11,297942
Washington,WA,8,614814
West Virginia,WV,8,743774
Wisconsin,WI,12,1114808
Wyoming,WY,3,96962
