1972,15627197,3169299
Alabama,AL,9,1006093
Alaska,AK,3,95219
Arizona,AZ,6,653505
Arkansas,AR,6,647666
California,CA,45,8367862
Colorado,CO,7,953884
Connecticut,CT,8,1384277
Delaware,DE,3,235516
District of Columbia,DC,3,163421
Florida,FL,17,2583283
Georgia,GA,12,1174772
Hawaii,HI,4,270274
Idaho,ID,4,310379
Illinois,IL,26,4723236
Indiana,IN,13,2125529
Iowa,IA,8,1225944
Kansas,KS,7,916095
Kentucky,KY,9,1067499
Louisiana,LA,10,1051491
Maine,ME,4,417271
Maryland,MD,10,1353812
Massachusetts,MA,14,2458756
Michigan,MI,21,3490325
Minnesota,MN,10,1741652
Mississippi,MS,7,645963
Missouri,MO,12,1852589
Montana,MT,4,317603
Nebraska,NE,5,576289
Nevada,NV,3,181766
New Hampshire,NH,4,334055
New Jersey,NJ,17,2997229
New Mexico,NM,4,385931
New York,NY,41,7161830
North Carolina,NC,13,1518612
North Dakota,ND,3,280514
Ohio,OH,25,4094787
Oklahoma,OK,8,1029900
Oregon,OR,6,927946
Pennsylvania,PA,27,4592105
Rhode Island,RI,4,415808
South Carolina,SC,8,677880
South Dakota,SD,4,307415
Tennessee,TN,10,1201182
Texas,TX,26,3472714
Utah,UT,4,478476
Vermont,VT,3,186947
Virginia,VA,12,1457019
Washington,WA,9,1470847
West Virginia,WV,6,762399
Wisconsin,WI,11,1852890
Wyoming,WY,3,145570
