1988,19698545,4847845
Alabama,AL,9,1378476
Alaska,AK,3,200116
Arizona,AZ,7,1171873
Arkansas,AR,6,827738
California,CA,47,9887064
Colorado,CO,8,1372394
Connecticut,CT,8,1443394
Delaware,DE,3,249891
District of Columbia,DC,3,192877
Florida,FL,21,4302313
Georgia,GA,12,1809672
Hawaii,HI,4,354461
Idaho,ID,4,408968
Illinois,IL,24,4559120
Indiana,IN,12,2168621
Iowa,IA,8,1225614
Kansas,KS,7,993044
Kentucky,KY,9,1322517
Louisiana,LA,10,1628202
Maine,ME,4,555035
Maryland,MD,10,1714358
Massachusetts,MA,13,2632805
Michigan,MI,20,3669163
Minnesota,MN,10,2096790
Mississippi,MS,7,931527
Missouri,MO,11,2093228
Montana,MT,4,365674
Nebraska,NE,5,662372
Nevada,NV,4,350067
New Hampshire,NH,4,450525
New Jersey,NJ,16,3099553
New Mexico,NM,5,521287
New York,NY,36,6485683
North Carolina,NC,13,2134370
North Dakota,ND,3,297261
Ohio,OH,23,4393699
Oklahoma,OK,8,1171036
Oregon,OR,7,1201694
Pennsylvania,PA,25,4536251
Rhode Island,RI,4,404620
South Carolina,SC,8,986009
South Dakota,SD,3,312991
Tennessee,TN,11,1636250
Texas,TX,29,5427410
Utah,UT,5,647008
Vermont,VT,3,243333
Virginia,VA,12,2191609
Washington,WA,10,1865253
West Virginia,WV,6,653311
Wisconsin,WI,11,2191608
Wyoming,WY,3,176551
