1940,8177449,764090
Alabama,AL,11,294219
Arizona,AZ,3,150039
Arkansas,AR,9,200743
California,CA,22,3268791
Colorado,CO,6,549004
Connecticut,CT,8,781502
Delaware,DE,3,136374
Florida,FL,7,485492
Georgia,GA,12,312551
Idaho,ID,4,235168
Illinois,IL,29,4217935
Indiana,IN,14,1782747
Iowa,IA,11,1215430
Kansas,KS,9,860297
Kentucky,KY,11,970063
Louisiana,LA,10,372305
Maine,ME,5,320840
Maryland,MD,8,660117
Massachusetts,MA,17,2026993
Michigan,MI,19,2085929
Minnesota,MN,11,1251188
Mississippi,MS,9,175824
Missouri,MO,15,1833729
Montana,MT,4,247873
Nebraska,NE,7,615878
Nevada,NV,3,53174
New Hampshire,NH,4,235419
New Jersey,NJ,16,1974214
New Mexico,NM,3,183258
New York,NY,47,6301596
North Carolina,NC,13,822648
North Dakota,ND,4,280775
Ohio,OH,26,3319912
Oklahoma,OK,11,826212
Oregon,OR,5,481240
Pennsylvania,PA,36,4078714
Rhode Island,RI,4,321148
South Carolina,SC,8,99832
South Dakota,SD,4,308427
Tennessee,TN,11,522823
Texas,TX,23,1124531
Utah,UT,4,247819
Vermont,VT,3,143062
Virginia,VA,11,346607
Washington,WA,8,793833
West Virginia,WV,8,868076
Wisconsin,WI,12,1405522
Wyoming,WY,3,112240
