2012,27429411,7645292
Alabama,AL,9,2074338
Alaska,AK,3,301694
Arizona,AZ,11,2323579
Arkansas,AR,6,1078548
California,CA,55,13202158
Colorado,CO,9,2596173
Connecticut,CT,7,1560640
Delaware,DE,3,413921
District of Columbia,DC,3,294254
Florida,FL,29,8538264
Georgia,GA,16,3919355
Hawaii,HI,4,437159
Idaho,ID,4,666290
Illinois,IL,20,5279752
Indiana,IN,11,2663368
Iowa,IA,6,1589951
Kansas,KS,6,1182771
Kentucky,KY,8,1815843
Louisiana,LA,8,2014548
Maine,ME,4,724758
Maryland,MD,10,2734062
Massachusetts,MA,11,3184196
Michigan,MI,16,4780701
Minnesota,MN,10,2950780
Mississippi,MS,6,1285584
Missouri,MO,10,2757323
Montana,MT,3,491966
Nebraska,NE,5,804245
Nevada,NV,6,1016664
New Hampshire,NH,4,718700
New Jersey,NJ,14,3683638
New Mexico,NM,5,786522
New York,NY,29,7128852
North Carolina,NC,15,4542488
North Dakota,ND,3,325564
Ohio,OH,18,5632423
Oklahoma,OK,7,1334872
Oregon,OR,7,1820507
Pennsylvania,PA,20,5742040
Rhode Island,RI,4,446049
South Carolina,SC,9,1981516
South Dakota,SD,3,368270
Tennessee,TN,11,2478870
Texas,TX,38,7993851
Utah,UT,6,1028786
Vermont,VT,3,301793
Virginia,VA,13,3888186
Washington,WA,12,3172939
West Virginia,WV,5,670438
Wisconsin,WI,10,3068434
Wyoming,WY,3,250701
