1996,21279499,5596992
Alabama,AL,9,1534349
Alaska,AK,3,241620
Arizona,AZ,8,1404405
Arkansas,AR,6,884262
California,CA,54,10019484
Colorado,CO,8,1510704
Connecticut,CT,8,1392614
Delaware,DE,3,270845
District of Columbia,DC,3,185726
Florida,FL,25,5303794
Georgia,GA,13,2299071
Hawaii,HI,4,360120
Idaho,ID,4,491719
Illinois,IL,22,4311391
Indiana,IN,12,2135842
Iowa,IA,7,1234075
Kansas,KS,6,1074300
Kentucky,KY,8,1388708
Louisiana,LA,9,1783959
Maine,ME,4,605897
Maryland,MD,10,1780870
Massachusetts,MA,12,2556785
Michigan,MI,18,3848844
Minnesota,MN,10,2192640
Mississippi,MS,7,893857
Missouri,MO,11,2158065
Montana,MT,3,407261
Nebraska,NE,5,677415
Nevada,NV,4,464279
New Hampshire,NH,4,499175
New Jersey,NJ,15,3075807
New Mexico,NM,5,556074
New York,NY,33,6316129
North Carolina,NC,14,2515807
North Dakota,ND,3,266411
Ohio,OH,21,4534434
Oklahoma,OK,8,1206713
Oregon,OR,7,1377760
Pennsylvania,PA,23,4506118
Rhode Island,RI,4,390284
South Carolina,SC,8,1149457
South Dakota,SD,3,323826
Tennessee,TN,11,1894105
Texas,TX,32,5611644
Utah,UT,5,665629
Vermont,VT,3,258449
Virginia,VA,13,2416642
Washington,WA,11,2253837
West Virginia,WV,5,636459
Wisconsin,WI,11,2196169
Wyoming,WY,3,211571
