1924,4563729,290431
Alabama,AL,12,166593
Arizona,AZ,3,73961
Arkansas,AR,9,138532
California,CA,13,1281900
Colorado,CO,6,342260
Connecticut,CT,7,400295
Delaware,DE,3,90885
Florida,FL,6,109154
Georgia,GA,14,166577
Idaho,ID,4,148295
Illinois,IL,29,2470067
Indiana,IN,15,1272390
Iowa,IA,13,976960
Kansas,KS,10,662454
Kentucky,KY,13,815332
Louisiana,LA,10,121951
Maine,ME,6,192192
Maryland,MD,8,358630
Massachusetts,MA,18,1129837
Michigan,MI,15,1160419
Minnesota,MN,12,822146
Mississippi,MS,10,112462
Missouri,MO,18,1307958
Montana,MT,4,174423
Nebraska,NE,8,464173
Nevada,NV,3,26921
New Hampshire,NH,4,164769
New Jersey,NJ,14,1086079
New Mexico,NM,3,112830
New York,NY,45,3263939
North Carolina,NC,12,482687
North Dakota,ND,5,199081
Ohio,OH,24,2016237
Oklahoma,OK,10,528415
Oregon,OR,5,279488
Pennsylvania,PA,38,2144850
Rhode Island,RI,5,210115
South Carolina,SC,9,50752
South Dakota,SD,5,203868
Tennessee,TN,12,300275
Texas,TX,20,657509
Utah,UT,4,156990
Vermont,VT,4,102917
Virginia,VA,12,223602
Washington,WA,7,421549
West Virginia,WV,8,583662
Wisconsin,WI,13,840826
Wyoming,WY,3,79900
