1884,1951880,388253
Alabama,AL,10,153624
Arkansas,AR,7,125779
California,CA,8,196988
Colorado,CO,3,66519
Connecticut,CT,6,137257
Delaware,DE,3,29984
Florida,FL,4,59990
Georgia,GA,12,143610
Illinois,IL,22,672670
Indiana,IN,15,495332
Iowa,IA,13,377201
Kansas,KS,9,265848
Kentucky,KY,13,276481
Louisiana,LA,8,109399
Maine,ME,6,130491
Maryland,MD,8,186019
Massachusetts,MA,14,303383
Michigan,MI,13,401186
Minnesota,MN,7,190017
Mississippi,MS,9,120688
Missouri,MO,16,441268
Nebraska,NE,5,134202
Nevada,NV,3,12797
New Hampshire,NH,4,84586
New Jersey,NJ,9,260921
New York,NY,36,1167169
North Carolina,NC,11,268356
Ohio,OH,23,784610
Oregon,OR,3,52682
Pennsylvania,PA,30,903864
Rhode Island,RI,4,32771
South Carolina,SC,9,92812
Tennessee,TN,12,259978
Texas,TX,13,325305
Vermont,VT,4,59401
Virginia,VA,12,284977
West Virginia,WV,6,132145
Wisconsin,WI,11,319835
