1868,1021563,299795
Alabama,AL,8,149594
Arkansas,AR,5,41190
California,CA,5,108656
Connecticut,CT,6,98570
Delaware,DE,3,18571
Florida,FL,3,23180
Georgia,GA,9,159816
Illinois,IL,16,449420
Indiana,IN,13,343528
Iowa,IA,8,194439
Kansas,KS,3,43630
Kentucky,KY,11,155455
Louisiana,LA,7,113488
Maine,ME,7,112962
Maryland,MD,7,92795
Massachusetts,MA,12,195508
Michigan,MI,8,225632
Minnesota,MN,4,71620
Missouri,MO,11,152488
Nebraska,NE,3,15291
Nevada,NV,3,11689
New Hampshire,NH,5,68304
New Jersey,NJ,7,163133
New York,NY,33,849771
North Carolina,NC,9,181498
Ohio,OH,21,518665
Oregon,OR,3,22086
Pennsylvania,PA,26,655662
Rhode Island,RI,4,19511
South Carolina,SC,6,107538
Tennessee,TN,10,82757
Vermont,VT,5,56224
West Virginia,WV,5,49321
Wisconsin,WI,8,193628
