2016,29231179,8221109
Alabama,AL,9,2123372
Alaska,AK,3,318608
Arizona,AZ,11,2604657
Arkansas,AR,6,1130635
California,CA,55,14237884
Colorado,CO,9,2780247
Connecticut,CT,7,1644920
Delaware,DE,3,443814
District of Columbia,DC,3,311268
Florida,FL,29,9501617
Georgia,GA,16,4141445
Hawaii,HI,4,428937
Idaho,ID,4,690433
Illinois,IL,20,5589767
Indiana,IN,11,2757828
Iowa,IA,6,1566031
Kansas,KS,6,1194755
Kentucky,KY,8,1924149
Louisiana,LA,8,2029032
Maine,ME,4,747927
Maryland,MD,10,2781446
Massachusetts,MA,11,3325046
Michigan,MI,16,4824119
Minnesota,MN,10,2945233
Mississippi,MS,6,1211088
Missouri,MO,10,2827673
Montana,MT,3,501822
Nebraska,NE,5,844227
Nevada,NV,6,1125385
New Hampshire,NH,4,744296
New Jersey,NJ,14,3906723
New Mexico,NM,5,798318
New York,NY,29,7707363
North Carolina,NC,15,4741564
North Dakota,ND,3,344360
Ohio,OH,18,5536528
Oklahoma,OK,7,1452992
Oregon,OR,7,2001336
Pennsylvania,PA,20,6166698
Rhode Island,RI,4,464144
South Carolina,SC,9,2103027
South Dakota,SD,3,370093
Tennessee,TN,11,2508027
Texas,TX,38,8969226
Utah,UT,6,1143601
Vermont,VT,3,315067
Virginia,VA,13,3982752
Washington,WA,12,3316996
West Virginia,WV,5,721231
Wisconsin,WI,10,2976150
Wyoming,WY,3,255849
